TotalDistance,TotalActiveMinutes,Calories
8.43000030517578,276.0,3429
16.3099994659424,299.0,3427
10.1300001144409,340.0,3425
15.9700002670288,317.0,3411
16.2399997711182,298.0,3410
6.07999992370605,242.0,3405
9.72000026702881,301.0,3404
15.6899995803833,336.0,3403
10.289999961853,380.0,3394
4.78000020980835,313.0,3374
9.0600004196167,208.0,3369
8.89000034332275,227.0,3363
15.6700000762939,289.0,3331
6.84999990463257,292.0,3329
7.11999988555908,386.0,3328
9.02999973297119,362.0,3328
7.44000005722046,385.0,3327
9.34000015258789,325.0,3324
10.1800003051758,278.0,3306
8.18000030517578,341.0,3300
5.1399998664856,269.0,3294
9.78999996185303,342.0,3290
9.97000026702881,343.0,3288
10.4300003051758,326.0,3287
9.64000034332275,357.0,3283
9.10000038146973,274.0,3274
9.6899995803833,70.0,3266
8.02000045776367,315.0,3226
13.6899995803833,327.0,3213
7.76999998092651,309.0,3199
6.21999979019165,216.0,3192
14.1199998855591,247.0,3186
14.3000001907349,479.0,3180
8.60999965667725,300.0,3172
5.94000005722046,268.0,3171
8.05000019073486,298.0,3165
7.86999988555908,347.0,3164
9.52000045776367,307.0,3162
8.73999977111816,412.0,3158
5.71000003814697,271.0,3152
8.39999961853027,241.0,3147
7.67000007629395,313.0,3145
9.72999954223633,211.0,3142
13.3500003814697,263.0,3140
12.6599998474121,303.0,3133
7.21000003814697,275.0,3123
8.22999954223633,303.0,3115
12.4799995422363,288.0,3114
6.23999977111816,196.0,3110
6.84000015258789,283.0,3108
12.5100002288818,276.0,3103
5.34999990463257,400.0,3101
11.3100004196167,440.0,3096
8.1899995803833,306.0,3093
8.44999980926514,165.0,3092
4.19999980926514,263.0,3089
3.98000001907349,251.0,3088
8.11999988555908,289.0,3083
8.60999965667725,300.0,3074
5.05999994277954,268.0,3073
7.73000001907349,291.0,3069
7.96000003814697,286.0,3069
6.73000001907349,299.0,3066
7.42999982833862,291.0,3064
12.3999996185303,252.0,3062
5.84000015258789,200.0,3061
7.92000007629395,294.0,3061
7.13000011444092,291.0,3061
11.3000001907349,297.0,3060
13.3400001525879,454.0,3055
10.6700000762939,270.0,3052
1.41999995708466,141.0,3051
12.1899995803833,252.0,3043
7.32000017166138,255.0,3033
11.8999996185303,274.0,3023
7.82999992370605,285.0,3015
5.55999994277954,292.0,3014
7.8600001335144,283.0,3013
7.38000011444092,243.0,3013
7.34999990463257,289.0,3012
6.36999988555908,228.0,3011
4.82999992370605,341.0,3008
6.98999977111816,254.0,3006
6.61999988555908,270.0,3004
5.6399998664856,209.0,3004
6.82000017166138,264.0,2998
10.6400003433228,245.0,2997
9.40999984741211,367.0,2995
6.67999982833862,265.0,2990
4.8899998664856,295.0,2987
6.36999988555908,271.0,2984
4.90000009536743,182.0,2982
7.09999990463257,265.0,2979
10.8699998855591,419.0,2976
4.40000009536743,184.0,2975
7.75,262.0,2969
9.10999965667725,288.0,2960
7.84000015258789,282.0,2954
5.80000019073486,363.0,2952
1.35000002384186,141.0,2951
11.5100002288818,232.0,2950
5.88000011444092,263.0,2947
7.69999980926514,180.0,2947
7.28999996185303,260.0,2944
6.78000020980835,270.0,2944
7.19000005722046,257.0,2940
10.1000003814697,462.0,2939
10.289999961853,416.0,2937
11.1000003814697,393.0,2933
7.28000020980835,261.0,2929
3.98000001907349,206.0,2926
11.3599996566772,221.0,2926
7.8899998664856,268.0,2926
8.38000011444092,273.0,2924
11.1499996185303,220.0,2918
4.53000020980835,165.0,2908
5.71999979019165,255.0,2908
5.40000009536743,350.0,2905
5.82000017166138,181.0,2902
7.38000011444092,250.0,2899
5.57999992370605,258.0,2898
10.6700000762939,387.0,2897
7.17999982833862,328.0,2896
5.28000020980835,265.0,2896
4.59000015258789,331.0,2896
10.2399997711182,375.0,2889
6.46000003814697,252.0,2889
7.88000011444092,261.0,2885
4.30000019073486,160.0,2884
6.65999984741211,211.0,2883
11.1099996566772,185.0,2867
10.5900001525879,519.0,2865
7.80000019073486,263.0,2862
8.43000030517578,283.0,2860
11.0,195.0,2859
5.63000011444092,224.0,2859
5.92000007629395,240.0,2859
9.81999969482422,253.0,2852
8.10999965667725,266.0,2847
6.53000020980835,270.0,2846
6.42999982833862,214.0,2846
9.61999988555908,258.0,2846
5.09999990463257,324.0,2843
5.40000009536743,321.0,2839
10.1199998855591,433.0,2836
8.14999961853027,253.0,2832
10.9799995422363,363.0,2832
10.2200002670288,399.0,2830
3.22000002861023,174.0,2828
10.9099998474121,540.0,2828
8.21000003814697,251.0,2817
5.44000005722046,197.0,2812
10.4799995422363,374.0,2812
4.76999998092651,250.0,2810
9.39999961853027,251.0,2809
4.61999988555908,305.0,2806
5.19000005722046,169.0,2806
6.78999996185303,253.0,2804
10.789999961853,201.0,2800
3.53999996185303,158.0,2799
6.65999984741211,186.0,2799
5.94999980926514,207.0,2798
8.97999954223633,356.0,2797
4.71999979019165,302.0,2796
9.64999961853027,225.0,2794
7.19000005722046,354.0,2793
8.31999969482422,214.0,2786
3.26999998092651,181.0,2785
4.94999980926514,225.0,2784
6.28000020980835,258.0,2783
11.3999996185303,388.0,2782
7.07000017166138,235.0,2781
3.94000005722046,310.0,2780
8.40999984741211,218.0,2772
5.90000009536743,260.0,2771
10.0699996948242,362.0,2770
5.21000003814697,271.0,2766
9.38000011444092,226.0,2765
9.1899995803833,391.0,2763
8.67000007629395,225.0,2761
4.82000017166138,231.0,2757
3.89000010490417,175.0,2755
6.80999994277954,231.0,2754
6.76000022888184,245.0,2754
6.82000017166138,237.0,2752
8.73999977111816,336.0,2752
3.82999992370605,177.0,2750
3.35999989509583,285.0,2748
4.21000003814697,287.0,2743
6.71000003814697,226.0,2743
9.64999961853027,339.0,2742
2.94000005722046,135.0,2741
8.47999954223633,271.0,2739
6.51999998092651,225.0,2735
6.11999988555908,256.0,2734
12.9099998474121,397.0,2732
8.06999969482422,303.0,2730
5.30000019073486,189.0,2729
5.13000011444092,268.0,2725
4.40999984741211,272.0,2718
5.82999992370605,251.0,2712
9.39000034332275,379.0,2709
3.13000011444092,177.0,2704
4.46000003814697,258.0,2703
4.80999994277954,258.0,2701
7.3899998664856,233.0,2698
4.46000003814697,173.0,2696
8.34000015258789,206.0,2693
28.0300006866455,420.0,2690
4.32999992370605,255.0,2687
2.32999992370605,139.0,2685
4.55999994277954,190.0,2683
4.78999996185303,239.0,2682
4.82999992370605,175.0,2677
4.57000017166138,240.0,2671
15.0799999237061,406.0,2670
8.23999977111816,344.0,2668
4.44000005722046,183.0,2668
7.42000007629395,419.0,2667
4.32999992370605,339.0,2666
2.33999991416931,121.0,2660
8.28999996185303,180.0,2655
8.3100004196167,192.0,2655
4.34999990463257,188.0,2654
8.68000030517578,512.0,2651
3.91000008583069,203.0,2650
8.28999996185303,335.0,2649
4.1100001335144,194.0,2647
2.65000009536743,144.0,2645
3.70000004768372,136.0,2643
9.18000030517578,328.0,2642
9.32999992370605,335.0,2638
2.59999990463257,192.0,2638
7.40000009536743,487.0,2636
11.3699998855591,427.0,2629
4.94999980926514,242.0,2616
4.17000007629395,227.0,2613
7.19000005722046,342.0,2611
8.35000038146973,328.0,2609
8.40999984741211,480.0,2606
8.5,340.0,2601
3.51999998092651,129.0,2596
5.26999998092651,119.0,2584
2.73000001907349,156.0,2580
7.1100001335144,458.0,2576
3.57999992370605,201.0,2572
1.69000005722046,93.0,2572
13.2399997711182,446.0,2571
